Sample,SRA Accession,Collection Date,Number of reads R1,Number of reads R2,Total reads,Average Read Length,Expected coverage based on number of reads,,,
UT-UPHL-250411415053,SRR33203911,2025-03-20,"202,503","202,503","405,006",151,"2,039",,,
UT-UPHL-250411505017,SRR33203923,2025-03-17,"1,536,201","1,536,201","3,072,402",151,"15,464",,,
UT-UPHL-250411574650,SRR33203909,2025-03-24,"1,059,608","1,059,608","2,119,216",151,"10,667",,,
UT-UPHL-250411596060,SRR33203898,2025-03-17,"289,089","289,089","578,178",151,"2,910",,,
UT-UPHL-250411603140,SRR33203905,2025-03-20,"862,461","862,461","1,724,922",151,"8,682",,,
UT-UPHL-250411646667,SRR33203904,2025-03-18,"1,302,171","1,302,171","2,604,342",151,"13,109",,,
UT-UPHL-250411704548,SRR33203920,2025-03-16,"1,549,190","1,549,190","3,098,380",151,"15,595",,,
UT-UPHL-250411716704,SRR33203924,2025-03-13,"1,307,283","1,307,283","2,614,566",151,"13,160",,,
UT-UPHL-250411729484,SRR33203908,2025-03-23,"246,101","246,101","492,202",151,"2,477",,,
UT-UPHL-250411731529,SRR33203906,2025-03-22,"1,040,348","1,040,348","2,080,696",151,"10,473",,,
UT-UPHL-250411766349,SRR33203910,2025-03-18,"251,561","251,561","503,122",151,"2,532",,,
UT-UPHL-250411793477,SRR33203900,2025-03-14,"783,096","783,096","1,566,192",151,"7,883",,,
UT-UPHL-250411853419,SRR33203903,2025-03-15,"1,627,783","1,627,783","3,255,566",151,"16,386",,,
UT-UPHL-250411893035,SRR33203921,2025-03-15,"1,303,362","1,303,362","2,606,724",151,"13,121",,,
UT-UPHL-250411953004,SRR33203916,2025-03-13,"1,000,831","1,000,831","2,001,662",151,"10,075",,,
UT-UPHL-250411998655,SRR33203913,2025-03-08,"262,318","262,318","524,636",151,"2,641",,,
UT-UPHL-250418000807,SRR33380218,2025-03-20,"52,346","52,346","104,692",151,527,,,
UT-UPHL-250418015682,SRR33380231,2025-04-03,"1,260,291","1,260,291","2,520,582",151,"12,687",,,
UT-UPHL-250418025824,SRR33380227,2025-04-04,"1,384,777","1,384,777","2,769,554",151,"13,940",,,
UT-UPHL-250418070646,SRR33380214,2025-03-25,"1,313,945","1,313,945","2,627,890",151,"13,227",,,
UT-UPHL-250418078009,SRR33380222,2025-04-02,"1,759,103","1,759,103","3,518,206",151,"17,708",,,
UT-UPHL-250418143629,SRR33380242,2025-04-04,"1,770,501","1,770,501","3,541,002",151,"17,823",,,
UT-UPHL-250418151418,SRR33380221,2025-04-02,"86,004","86,004","172,008",151,866,,,
UT-UPHL-250418175235,SRR33380202,2025-04-10,"1,436,738","1,436,738","2,873,476",151,"14,463",,,
UT-UPHL-250418175387,SRR33380216,2025-03-26,"1,355,289","1,355,289","2,710,578",151,"13,643",,,
UT-UPHL-250418190913,SRR33380212,2025-03-23,"1,292,708","1,292,708","2,585,416",151,"13,013",,,
UT-UPHL-250418232686,SRR33380245,2025-04-01,"665,518","665,518","1,331,036",151,"6,700",,,
UT-UPHL-250418257080,SRR33380199,2025-03-17,"342,987","342,987","685,974",151,"3,453",,,
UT-UPHL-250418259595,SRR33380237,2025-04-07,"997,305","997,305","1,994,610",151,"10,040",,,
UT-UPHL-250418280840,SRR33380230,2025-04-06,"438,081","438,081","876,162",151,"4,410",,,
UT-UPHL-250418335421,SRR33380251,2025-03-16,"1,106,971","1,106,971","2,213,942",151,"11,144",,,
UT-UPHL-250418343523,SRR33380236,2025-04-08,"148,640","148,640","297,280",151,"1,496",,,
UT-UPHL-250418355854,SRR33380271,2025-03-24,"124,357","124,357","248,714",151,"1,252",,,
UT-UPHL-250418366557,SRR33380249,2025-03-27,"1,633,082","1,633,082","3,266,164",151,"16,440",,,
UT-UPHL-250418375951,SRR33380263,2025-03-28,"390,337","390,337","780,674",151,"3,929",,,
UT-UPHL-250418386383,SRR33380243,2025-04-04,"1,560,969","1,560,969","3,121,938",151,"15,714",,,
UT-UPHL-250418392879,SRR33380255,2025-03-25,"729,278","729,278","1,458,556",151,"7,341",,,
UT-UPHL-250418404202,SRR33380250,2025-03-27,"1,146,675","1,146,675","2,293,350",151,"11,543",,,
UT-UPHL-250418404396,SRR33380272,2025-03-25,"108,302","108,302","216,604",151,"1,090",,,
UT-UPHL-250418408453,SRR33380257,2025-03-13,"887,081","887,081","1,774,162",151,"8,930",,,
UT-UPHL-250418409126,SRR33380254,2025-03-25,"282,987","282,987","565,974",151,"2,849",,,
UT-UPHL-250418454975,SRR33380220,2025-03-26,"1,092,515","1,092,515","2,185,030",151,"10,998",,,
UT-UPHL-250418464275,SRR33380198,2025-03-15,"116,608","116,608","233,216",151,"1,174",,,
UT-UPHL-250418516916,SRR33380225,2025-04-04,"1,594,379","1,594,379","3,188,758",151,"16,050",,,
UT-UPHL-250418518456,SRR33380253,2025-03-26,"1,114,711","1,114,711","2,229,422",151,"11,221",,,
UT-UPHL-250418541394,SRR33380270,2025-03-24,"1,177,184","1,177,184","2,354,368",151,"11,850",,,
UT-UPHL-250418543194,SRR33380232,2025-04-07,"1,215,753","1,215,753","2,431,506",151,"12,239",,,
